LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,EDUTRY,25_34,PC_AGE,A,2016,40.979172,
GRC,EDUTRY,25_34,PC_AGE,A,2017,42.479965,
GRC,EDUTRY,25_34,PC_AGE,A,2018,42.821678,
GRC,EDUTRY,25_34,PC_AGE,A,2019,42.406635,
HUN,EDUTRY,25_34,PC_AGE,A,2016,30.400248,
HUN,EDUTRY,25_34,PC_AGE,A,2017,30.162258,
HUN,EDUTRY,25_34,PC_AGE,A,2018,30.576908,
HUN,EDUTRY,25_34,PC_AGE,A,2019,30.589085,
ISL,EDUTRY,25_34,PC_AGE,A,2016,43.270977,
ISL,EDUTRY,25_34,PC_AGE,A,2017,47.419262,
ISL,EDUTRY,25_34,PC_AGE,A,2018,47.014381,
ISL,EDUTRY,25_34,PC_AGE,A,2019,47.06115,
IRL,EDUTRY,25_34,PC_AGE,A,2017,53.473541,
IRL,EDUTRY,25_34,PC_AGE,A,2018,56.174488,
IRL,EDUTRY,25_34,PC_AGE,A,2019,55.44894,
ITA,EDUTRY,25_34,PC_AGE,A,2016,25.584146,
ITA,EDUTRY,25_34,PC_AGE,A,2017,26.816479,
ITA,EDUTRY,25_34,PC_AGE,A,2018,27.726679,
ITA,EDUTRY,25_34,PC_AGE,A,2019,27.744524,
JPN,EDUTRY,25_34,PC_AGE,A,2016,60.120392,
JPN,EDUTRY,25_34,PC_AGE,A,2017,60.426178,
JPN,EDUTRY,25_34,PC_AGE,A,2018,60.730949,
JPN,EDUTRY,25_34,PC_AGE,A,2019,61.514194,
KOR,EDUTRY,25_34,PC_AGE,A,2016,69.851555,
KOR,EDUTRY,25_34,PC_AGE,A,2017,69.752068,
KOR,EDUTRY,25_34,PC_AGE,A,2018,69.574219,
KOR,EDUTRY,25_34,PC_AGE,A,2019,69.802818,
LUX,EDUTRY,25_34,PC_AGE,A,2016,51.431648,
LUX,EDUTRY,25_34,PC_AGE,A,2017,51.395588,
LUX,EDUTRY,25_34,PC_AGE,A,2018,54.780186,
LUX,EDUTRY,25_34,PC_AGE,A,2019,54.989532,
MEX,EDUTRY,25_34,PC_AGE,A,2016,21.791378,
MEX,EDUTRY,25_34,PC_AGE,A,2017,22.555721,
MEX,EDUTRY,25_34,PC_AGE,A,2018,23.359127,
MEX,EDUTRY,25_34,PC_AGE,A,2019,23.587111,
NLD,EDUTRY,25_34,PC_AGE,A,2016,45.223412,
NLD,EDUTRY,25_34,PC_AGE,A,2017,46.594383,
NLD,EDUTRY,25_34,PC_AGE,A,2018,47.603172,
NLD,EDUTRY,25_34,PC_AGE,A,2019,49.103264,
NZL,EDUTRY,25_34,PC_AGE,A,2016,43.396225,
NZL,EDUTRY,25_34,PC_AGE,A,2017,44.158596,
NZL,EDUTRY,25_34,PC_AGE,A,2018,45.811745,
NZL,EDUTRY,25_34,PC_AGE,A,2019,43.792194,
NOR,EDUTRY,25_34,PC_AGE,A,2016,48.614609,
NOR,EDUTRY,25_34,PC_AGE,A,2017,48.337029,
NOR,EDUTRY,25_34,PC_AGE,A,2018,48.211601,
NOR,EDUTRY,25_34,PC_AGE,A,2019,48.658932,
POL,EDUTRY,25_34,PC_AGE,A,2016,43.47826,
POL,EDUTRY,25_34,PC_AGE,A,2017,43.526325,
POL,EDUTRY,25_34,PC_AGE,A,2018,43.523716,
POL,EDUTRY,25_34,PC_AGE,A,2019,43.484364,
PRT,EDUTRY,25_34,PC_AGE,A,2016,34.964241,
PRT,EDUTRY,25_34,PC_AGE,A,2017,34.031322,
PRT,EDUTRY,25_34,PC_AGE,A,2018,35.078072,
PRT,EDUTRY,25_34,PC_AGE,A,2019,37.36721,
SVK,EDUTRY,25_34,PC_AGE,A,2016,33.372261,
SVK,EDUTRY,25_34,PC_AGE,A,2017,35.065048,
SVK,EDUTRY,25_34,PC_AGE,A,2018,37.208523,
SVK,EDUTRY,25_34,PC_AGE,A,2019,39.158154,
ESP,EDUTRY,25_34,PC_AGE,A,2016,40.980919,
ESP,EDUTRY,25_34,PC_AGE,A,2017,42.644691,
ESP,EDUTRY,25_34,PC_AGE,A,2018,44.259609,
ESP,EDUTRY,25_34,PC_AGE,A,2019,46.508266,
SWE,EDUTRY,25_34,PC_AGE,A,2016,47.215698,
SWE,EDUTRY,25_34,PC_AGE,A,2017,47.388306,
SWE,EDUTRY,25_34,PC_AGE,A,2018,47.530075,
SWE,EDUTRY,25_34,PC_AGE,A,2019,48.373196,
CHE,EDUTRY,25_34,PC_AGE,A,2016,48.844658,
CHE,EDUTRY,25_34,PC_AGE,A,2017,50.136665,
CHE,EDUTRY,25_34,PC_AGE,A,2018,51.206909,
CHE,EDUTRY,25_34,PC_AGE,A,2019,52.695705,
TUR,EDUTRY,25_34,PC_AGE,A,2016,30.456598,
TUR,EDUTRY,25_34,PC_AGE,A,2017,31.588659,
TUR,EDUTRY,25_34,PC_AGE,A,2018,33.280041,
TUR,EDUTRY,25_34,PC_AGE,A,2019,35.325356,
GBR,EDUTRY,25_34,PC_AGE,A,2016,51.775383,
GBR,EDUTRY,25_34,PC_AGE,A,2017,51.624851,
GBR,EDUTRY,25_34,PC_AGE,A,2018,50.752552,
GBR,EDUTRY,25_34,PC_AGE,A,2019,51.809521,
USA,EDUTRY,25_34,PC_AGE,A,2016,47.521809,
USA,EDUTRY,25_34,PC_AGE,A,2017,47.757,
USA,EDUTRY,25_34,PC_AGE,A,2018,49.373737,
USA,EDUTRY,25_34,PC_AGE,A,2019,50.380188,
ARG,EDUTRY,25_34,PC_AGE,A,2017,18.388876,
ARG,EDUTRY,25_34,PC_AGE,A,2018,39.957542,
BRA,EDUTRY,25_34,PC_AGE,A,2016,19.731018,
BRA,EDUTRY,25_34,PC_AGE,A,2017,19.613668,
BRA,EDUTRY,25_34,PC_AGE,A,2018,21.314569,
CHL,EDUTRY,25_34,PC_AGE,A,2017,33.726387,
EST,EDUTRY,25_34,PC_AGE,A,2016,41.048111,
EST,EDUTRY,25_34,PC_AGE,A,2017,43.041157,
EST,EDUTRY,25_34,PC_AGE,A,2018,43.633705,
EST,EDUTRY,25_34,PC_AGE,A,2019,42.760071,
IDN,EDUTRY,25_34,PC_AGE,A,2016,15.066395,
IDN,EDUTRY,25_34,PC_AGE,A,2017,16.130028,
ISR,EDUTRY,25_34,PC_AGE,A,2016,47.449234,
ISR,EDUTRY,25_34,PC_AGE,A,2017,48.028301,
ISR,EDUTRY,25_34,PC_AGE,A,2018,47.1143,
ISR,EDUTRY,25_34,PC_AGE,A,2019,47.04248,
RUS,EDUTRY,25_34,PC_AGE,A,2016,57.57906,
RUS,EDUTRY,25_34,PC_AGE,A,2017,62.657864,
RUS,EDUTRY,25_34,PC_AGE,A,2018,62.09024,
SVN,EDUTRY,25_34,PC_AGE,A,2016,42.977364,
SVN,EDUTRY,25_34,PC_AGE,A,2017,44.566971,
SVN,EDUTRY,25_34,PC_AGE,A,2018,40.713264,
SVN,EDUTRY,25_34,PC_AGE,A,2019,44.105736,
ZAF,EDUTRY,25_34,PC_AGE,A,2016,5.4059763,
ZAF,EDUTRY,25_34,PC_AGE,A,2017,6.0091648,
ZAF,EDUTRY,25_34,PC_AGE,A,2018,5.5689878,
AUS,EDUTRY,55_64,PC_AGE,A,2016,34.965424,
AUS,EDUTRY,55_64,PC_AGE,A,2017,33.846718,
AUS,EDUTRY,55_64,PC_AGE,A,2018,34.811333,
AUS,EDUTRY,55_64,PC_AGE,A,2019,34.93531,
CAN,EDUTRY,55_64,PC_AGE,A,2016,46.21072,
CAN,EDUTRY,55_64,PC_AGE,A,2017,46.512562,
CAN,EDUTRY,55_64,PC_AGE,A,2018,47.720543,
CAN,EDUTRY,55_64,PC_AGE,A,2019,49.815067,
CHE,EDUTRY,55_64,PC_AGE,A,2016,31.622665,
CHE,EDUTRY,55_64,PC_AGE,A,2017,32.361843,
CHE,EDUTRY,55_64,PC_AGE,A,2018,33.598095,
CHE,EDUTRY,55_64,PC_AGE,A,2019,34.060177,
USA,EDUTRY,55_64,PC_AGE,A,2016,41.91584,
USA,EDUTRY,55_64,PC_AGE,A,2017,42.03458,
USA,EDUTRY,55_64,PC_AGE,A,2018,42.640469,
USA,EDUTRY,55_64,PC_AGE,A,2019,43.367798,
RUS,EDUTRY,55_64,PC_AGE,A,2016,47.46981,
RUS,EDUTRY,55_64,PC_AGE,A,2017,50.660606,
RUS,EDUTRY,55_64,PC_AGE,A,2018,50.27626,
BEL,EDUTRY,55_64,PC_AGE,A,2016,27.489843,
BEL,EDUTRY,55_64,PC_AGE,A,2017,30.489338,
BEL,EDUTRY,55_64,PC_AGE,A,2018,30.715139,
BEL,EDUTRY,55_64,PC_AGE,A,2019,30.803074,
PRT,EDUTRY,55_64,PC_AGE,A,2016,13.147831,
PRT,EDUTRY,55_64,PC_AGE,A,2017,13.212984,
PRT,EDUTRY,55_64,PC_AGE,A,2018,14.204625,
PRT,EDUTRY,55_64,PC_AGE,A,2019,15.112891,
SWE,EDUTRY,55_64,PC_AGE,A,2016,30.792175,
SWE,EDUTRY,55_64,PC_AGE,A,2017,31.108749,
SWE,EDUTRY,55_64,PC_AGE,A,2018,32.568508,
SWE,EDUTRY,55_64,PC_AGE,A,2019,32.13031,
GBR,EDUTRY,55_64,PC_AGE,A,2016,37.540337,
GBR,EDUTRY,55_64,PC_AGE,A,2017,36.920013,
GBR,EDUTRY,55_64,PC_AGE,A,2018,36.625004,
GBR,EDUTRY,55_64,PC_AGE,A,2019,38.661789,
EST,EDUTRY,55_64,PC_AGE,A,2016,36.096016,
EST,EDUTRY,55_64,PC_AGE,A,2017,36.385414,
EST,EDUTRY,55_64,PC_AGE,A,2018,38.065086,
EST,EDUTRY,55_64,PC_AGE,A,2019,39.69622,
HUN,EDUTRY,55_64,PC_AGE,A,2016,17.239086,
HUN,EDUTRY,55_64,PC_AGE,A,2017,17.693697,
HUN,EDUTRY,55_64,PC_AGE,A,2018,18.209913,
HUN,EDUTRY,55_64,PC_AGE,A,2019,19.154903,
ITA,EDUTRY,55_64,PC_AGE,A,2016,12.385381,
ITA,EDUTRY,55_64,PC_AGE,A,2017,12.75355,
ITA,EDUTRY,55_64,PC_AGE,A,2018,13.001196,
ITA,EDUTRY,55_64,PC_AGE,A,2019,12.802745,
LUX,EDUTRY,55_64,PC_AGE,A,2016,27.473686,
LUX,EDUTRY,55_64,PC_AGE,A,2017,22.543402,
LUX,EDUTRY,55_64,PC_AGE,A,2018,27.980574,
LUX,EDUTRY,55_64,PC_AGE,A,2019,35.72953,
NZL,EDUTRY,55_64,PC_AGE,A,2016,28.230469,
NZL,EDUTRY,55_64,PC_AGE,A,2017,29.476734,
NZL,EDUTRY,55_64,PC_AGE,A,2018,30.390432,
NZL,EDUTRY,55_64,PC_AGE,A,2019,30.204012,
SVN,EDUTRY,55_64,PC_AGE,A,2016,19.108551,
SVN,EDUTRY,55_64,PC_AGE,A,2017,19.676037,
SVN,EDUTRY,55_64,PC_AGE,A,2018,21.109079,
SVN,EDUTRY,55_64,PC_AGE,A,2019,21.74276,
AUT,EDUTRY,55_64,PC_AGE,A,2016,22.866629,
AUT,EDUTRY,55_64,PC_AGE,A,2017,23.439724,
AUT,EDUTRY,55_64,PC_AGE,A,2018,23.819229,
AUT,EDUTRY,55_64,PC_AGE,A,2019,25.15774,
CZE,EDUTRY,55_64,PC_AGE,A,2016,15.547841,
CZE,EDUTRY,55_64,PC_AGE,A,2017,16.553169,
CZE,EDUTRY,55_64,PC_AGE,A,2018,17.25849,
CZE,EDUTRY,55_64,PC_AGE,A,2019,17.72208,
FRA,EDUTRY,55_64,PC_AGE,A,2016,22.060652,
FRA,EDUTRY,55_64,PC_AGE,A,2017,22.815599,
FRA,EDUTRY,55_64,PC_AGE,A,2018,23.984407,
FRA,EDUTRY,55_64,PC_AGE,A,2019,24.419941,
CHL,EDUTRY,55_64,PC_AGE,A,2017,16.010725,
NLD,EDUTRY,55_64,PC_AGE,A,2016,27.404032,
NLD,EDUTRY,55_64,PC_AGE,A,2017,27.879007,
NLD,EDUTRY,55_64,PC_AGE,A,2018,29.045347,
NLD,EDUTRY,55_64,PC_AGE,A,2019,30.980169,
POL,EDUTRY,55_64,PC_AGE,A,2016,13.88941,
POL,EDUTRY,55_64,PC_AGE,A,2017,15.109154,
POL,EDUTRY,55_64,PC_AGE,A,2018,15.316555,
POL,EDUTRY,55_64,PC_AGE,A,2019,15.962821,
ESP,EDUTRY,55_64,PC_AGE,A,2016,23.221613,
ESP,EDUTRY,55_64,PC_AGE,A,2017,24.170084,
ESP,EDUTRY,55_64,PC_AGE,A,2018,25.096329,
ESP,EDUTRY,55_64,PC_AGE,A,2019,26.662975,
TUR,EDUTRY,55_64,PC_AGE,A,2016,10.177762,
TUR,EDUTRY,55_64,PC_AGE,A,2017,9.7605286,
TUR,EDUTRY,55_64,PC_AGE,A,2018,10.014171,
TUR,EDUTRY,55_64,PC_AGE,A,2019,10.968321,
FIN,EDUTRY,55_64,PC_AGE,A,2016,37.021858,
FIN,EDUTRY,55_64,PC_AGE,A,2017,38.493149,
FIN,EDUTRY,55_64,PC_AGE,A,2018,40.055248,
FIN,EDUTRY,55_64,PC_AGE,A,2019,41.015091,
GRC,EDUTRY,55_64,PC_AGE,A,2016,20.874969,
GRC,EDUTRY,55_64,PC_AGE,A,2017,22.022884,
GRC,EDUTRY,55_64,PC_AGE,A,2018,21.946674,
GRC,EDUTRY,55_64,PC_AGE,A,2019,23.115686,
IRL,EDUTRY,55_64,PC_AGE,A,2017,29.879089,
IRL,EDUTRY,55_64,PC_AGE,A,2018,31.170588,
IRL,EDUTRY,55_64,PC_AGE,A,2019,32.16758,
KOR,EDUTRY,55_64,PC_AGE,A,2016,19.659506,
KOR,EDUTRY,55_64,PC_AGE,A,2017,21.343103,
KOR,EDUTRY,55_64,PC_AGE,A,2018,23.097208,
KOR,EDUTRY,55_64,PC_AGE,A,2019,24.380547,
DNK,EDUTRY,55_64,PC_AGE,A,2016,29.706284,
DNK,EDUTRY,55_64,PC_AGE,A,2017,30.281456,
DNK,EDUTRY,55_64,PC_AGE,A,2018,30.057343,
DNK,EDUTRY,55_64,PC_AGE,A,2019,30.750969,
DEU,EDUTRY,55_64,PC_AGE,A,2016,26.290979,
DEU,EDUTRY,55_64,PC_AGE,A,2017,26.336317,
DEU,EDUTRY,55_64,PC_AGE,A,2018,26.330261,
DEU,EDUTRY,55_64,PC_AGE,A,2019,26.91873,
ISL,EDUTRY,55_64,PC_AGE,A,2016,28.920799,
ISL,EDUTRY,55_64,PC_AGE,A,2017,30.264977,
ISL,EDUTRY,55_64,PC_AGE,A,2018,30.912941,
ISL,EDUTRY,55_64,PC_AGE,A,2019,32.72686,
JPN,EDUTRY,55_64,PC_AGE,A,2016,39.72332,
JPN,EDUTRY,55_64,PC_AGE,A,2017,41.066666,
JPN,EDUTRY,55_64,PC_AGE,A,2018,43.001347,
JPN,EDUTRY,55_64,PC_AGE,A,2019,44.489521,
MEX,EDUTRY,55_64,PC_AGE,A,2016,12.60333,
MEX,EDUTRY,55_64,PC_AGE,A,2017,13.356908,
MEX,EDUTRY,55_64,PC_AGE,A,2018,13.942506,
MEX,EDUTRY,55_64,PC_AGE,A,2019,13.611008,
NOR,EDUTRY,55_64,PC_AGE,A,2016,32.973148,
NOR,EDUTRY,55_64,PC_AGE,A,2017,33.182407,
NOR,EDUTRY,55_64,PC_AGE,A,2018,34.274593,
NOR,EDUTRY,55_64,PC_AGE,A,2019,34.234402,
SVK,EDUTRY,55_64,PC_AGE,A,2016,13.909225,
SVK,EDUTRY,55_64,PC_AGE,A,2017,15.743619,
SVK,EDUTRY,55_64,PC_AGE,A,2018,15.587601,
SVK,EDUTRY,55_64,PC_AGE,A,2019,16.076309,
BRA,EDUTRY,55_64,PC_AGE,A,2016,13.74702,
BRA,EDUTRY,55_64,PC_AGE,A,2017,13.737496,
BRA,EDUTRY,55_64,PC_AGE,A,2018,14.280539,
ISR,EDUTRY,55_64,PC_AGE,A,2016,47.615772,
ISR,EDUTRY,55_64,PC_AGE,A,2017,48.143841,
ISR,EDUTRY,55_64,PC_AGE,A,2018,46.966572,
ISR,EDUTRY,55_64,PC_AGE,A,2019,46.874813,
OAVG,EDUTRY,25_34,PC_AGE,A,2016,42.541551,
OAVG,EDUTRY,25_34,PC_AGE,A,2017,43.296392,
OAVG,EDUTRY,25_34,PC_AGE,A,2018,44.128715,
OAVG,EDUTRY,25_34,PC_AGE,A,2019,44.893938,
LVA,EDUTRY,25_34,PC_AGE,A,2016,42.097309,
LVA,EDUTRY,25_34,PC_AGE,A,2017,41.608852,
LVA,EDUTRY,25_34,PC_AGE,A,2018,41.648941,
LVA,EDUTRY,25_34,PC_AGE,A,2019,43.811146,
COL,EDUTRY,25_34,PC_AGE,A,2016,28.074512,
COL,EDUTRY,25_34,PC_AGE,A,2017,28.106581,
COL,EDUTRY,25_34,PC_AGE,A,2018,28.959703,
COL,EDUTRY,25_34,PC_AGE,A,2019,29.873518,
ARG,EDUTRY,55_64,PC_AGE,A,2017,21.526861,
ARG,EDUTRY,55_64,PC_AGE,A,2018,29.480423,
COL,EDUTRY,55_64,PC_AGE,A,2016,14.840204,
COL,EDUTRY,55_64,PC_AGE,A,2017,14.654618,
COL,EDUTRY,55_64,PC_AGE,A,2018,15.430279,
COL,EDUTRY,55_64,PC_AGE,A,2019,15.572767,
IDN,EDUTRY,55_64,PC_AGE,A,2016,6.7332129,
IDN,EDUTRY,55_64,PC_AGE,A,2017,7.2144108,
LVA,EDUTRY,55_64,PC_AGE,A,2016,26.995855,
LVA,EDUTRY,55_64,PC_AGE,A,2017,27.114574,
LVA,EDUTRY,55_64,PC_AGE,A,2018,25.889235,
LVA,EDUTRY,55_64,PC_AGE,A,2019,27.810316,
LTU,EDUTRY,25_34,PC_AGE,A,2016,54.926018,
LTU,EDUTRY,25_34,PC_AGE,A,2017,55.625957,
LTU,EDUTRY,25_34,PC_AGE,A,2018,55.581402,
LTU,EDUTRY,25_34,PC_AGE,A,2019,55.187374,
LTU,EDUTRY,55_64,PC_AGE,A,2016,30.686686,
LTU,EDUTRY,55_64,PC_AGE,A,2017,29.454435,
LTU,EDUTRY,55_64,PC_AGE,A,2018,30.099237,
LTU,EDUTRY,55_64,PC_AGE,A,2019,30.421673,
ZAF,EDUTRY,55_64,PC_AGE,A,2016,8.8867502,
ZAF,EDUTRY,55_64,PC_AGE,A,2017,8.7931376,
ZAF,EDUTRY,55_64,PC_AGE,A,2018,9.1371021,
CRI,EDUTRY,25_34,PC_AGE,A,2016,28.922903,
CRI,EDUTRY,25_34,PC_AGE,A,2017,28.004108,
CRI,EDUTRY,25_34,PC_AGE,A,2018,27.815552,
CRI,EDUTRY,25_34,PC_AGE,A,2019,31.346508,
CRI,EDUTRY,55_64,PC_AGE,A,2016,21.284702,
CRI,EDUTRY,55_64,PC_AGE,A,2017,19.075848,
CRI,EDUTRY,55_64,PC_AGE,A,2018,18.074013,
CRI,EDUTRY,55_64,PC_AGE,A,2019,20.365545,
OAVG,EDUTRY,55_64,PC_AGE,A,2016,26.18035,
OAVG,EDUTRY,55_64,PC_AGE,A,2017,26.346513,
OAVG,EDUTRY,55_64,PC_AGE,A,2018,27.378653,
OAVG,EDUTRY,55_64,PC_AGE,A,2019,28.395201,
